  PID  PPID CMD                         %CPU %MEM
 1645  1393 kube-apiserver --advertise-  3.3  6.3
 1638  1400 kube-controller-manager --a  2.2  2.3
 1057     1 /usr/bin/kubelet --bootstra  1.5  2.1
 1631  1408 etcd --advertise-client-url  1.3  1.9
 1709     1 /usr/local/aegis/aegis_clie  0.7  0.7
  887     1 /usr/bin/containerd          0.5  1.5
 1652  1404 kube-scheduler --authentica  0.3  1.0
 2699  2554 /usr/local/bin/python3.10 /  0.3  2.7
 2743  2589 /usr/local/bin/python3.9 /u  0.3  2.0

